# Luminosity, Color
1.2748e+00,8.4421e-01
1.3596e+00,5.4766e-01
7.8896e-01,1.9418e+00
1.2479e+00,1.0432e+00
1.3715e+00,7.4988e-01
1.1671e+00,1.3215e+00
1.3267e+00,7.1960e-01
1.4327e+00,3.6061e-01
1.2982e+00,9.7242e-01
8.2864e-01,1.8852e+00
1.1962e+00,1.3638e+00
1.3047e+00,7.2954e-01
1.2562e+00,1.0973e+00
1.3942e+00,8.5693e-01
1.2745e+00,1.2116e+00
8.2472e-01,1.9344e+00
9.0019e-01,1.7506e+00
1.2682e+00,1.0350e+00
1.2604e+00,9.4986e-01
1.1188e+00,1.3339e+00
1.3312e+00,9.9254e-01
1.4095e+00,2.7857e-01
1.2754e+00,1.1801e+00
1.5070e+00,5.9859e-02
1.2764e+00,9.1712e-01
1.2697e+00,1.0402e+00
1.2740e+00,8.9857e-01
1.1862e+00,1.2903e+00
1.4107e+00,5.2175e-01
1.4167e+00,4.1638e-01
1.0831e+00,1.5714e+00
8.3490e-01,1.9191e+00
1.3080e+00,9.0844e-01
1.3910e+00,6.9138e-01
1.3970e+00,7.4122e-01
8.7008e-01,1.8667e+00
1.1297e+00,1.4219e+00
1.2328e+00,1.1714e+00
1.0142e+00,1.6131e+00
1.1566e+00,1.4709e+00
1.3184e+00,8.7343e-01
1.4937e+00,8.0927e-02
1.3147e+00,7.1517e-01
9.7175e-01,1.7023e+00
1.2941e+00,9.7676e-01
1.0550e+00,1.5990e+00
1.1675e+00,1.1939e+00
1.3187e+00,9.9708e-01
1.0385e+00,1.6519e+00
1.0178e+00,1.5869e+00
1.3058e+00,7.7327e-01
1.2235e+00,1.2798e+00
1.2519e+00,1.0179e+00
9.1745e-01,1.8252e+00
1.4192e+00,2.7570e-01
1.3473e+00,9.1933e-01
1.0902e+00,1.5101e+00
1.3210e+00,1.0490e+00
9.5495e-01,1.7310e+00
1.3816e+00,7.1570e-01
1.4514e+00,2.6024e-01
1.3528e+00,1.0201e+00
1.3560e+00,7.0570e-01
1.1304e+00,1.3685e+00
1.1684e+00,1.2790e+00
9.9663e-01,1.7153e+00
1.4654e+00,2.0864e-01
9.5224e-01,1.7434e+00
8.6454e-01,1.8683e+00
8.3737e-01,1.8599e+00
1.3055e+00,1.1335e+00
1.1372e+00,1.2958e+00
1.3802e+00,6.4613e-01
1.3598e+00,8.1005e-01
1.4576e+00,3.3185e-01
1.1757e+00,1.2903e+00
1.3012e+00,9.1392e-01
1.3988e+00,5.9688e-01
1.1787e+00,1.1709e+00
1.2089e+00,1.1651e+00
1.2007e+00,1.1239e+00
9.4455e-01,1.7676e+00
1.3387e+00,1.0270e+00
1.1475e+00,1.4404e+00
8.8425e-01,1.8275e+00
1.2166e+00,1.0508e+00
9.9392e-01,1.6724e+00
1.4426e+00,2.5890e-01
8.7352e-01,1.8557e+00
1.1232e+00,1.3239e+00
9.8572e-01,1.5829e+00
1.2642e+00,9.7308e-01
1.2337e+00,1.1468e+00
1.4965e+00,5.7347e-02
1.3274e+00,1.1095e+00
1.3962e+00,6.9012e-01
1.3977e+00,8.1339e-01
1.2010e+00,1.3780e+00
1.0206e+00,1.6432e+00
1.2066e+00,1.1986e+00
8.3798e-01,1.8679e+00
1.1757e+00,1.2209e+00
1.4353e+00,4.4384e-01
1.0565e+00,1.5772e+00
9.4822e-01,1.7455e+00
1.3969e+00,2.9941e-01
1.4601e+00,1.3182e-01
1.0915e+00,1.3826e+00
1.2532e+00,1.1081e+00
9.2342e-01,1.7213e+00
1.0860e+00,1.5833e+00
1.0575e+00,1.4963e+00
1.2303e+00,1.0210e+00
1.4817e+00,1.7951e-01
1.3952e+00,5.9328e-01
1.1983e+00,1.2773e+00
9.5603e-01,1.7703e+00
1.3778e+00,6.1200e-01
1.1468e+00,1.4364e+00
1.3121e+00,6.8830e-01
1.1133e+00,1.4233e+00
1.1951e+00,1.1895e+00
1.4050e+00,5.9049e-01
1.2769e+00,9.5997e-01
1.4880e+00,1.7061e-01
1.3048e+00,7.4041e-01
1.3474e+00,1.0175e+00
